date,generacion_GWh,capacidad_efectiva_neta_mv,str_date
2000-01-01,87.924,11806.97,2000 enero 01
2000-01-02,88.754,11806.97,2000 enero 02
2000-01-03,105.884,11806.97,2000 enero 03
2000-01-04,109.207,11806.97,2000 enero 04
2000-01-05,109.069,11806.97,2000 enero 05
2000-01-06,110.268,11806.97,2000 enero 06
2000-01-07,110.459,11806.97,2000 enero 07
2000-01-08,103.903,11806.97,2000 enero 08
2000-01-09,90.875,11806.97,2000 enero 09
2000-01-10,92.733,11806.97,2000 enero 10
2000-01-11,110.073,11806.97,2000 enero 11
2000-01-12,113.071,11806.97,2000 enero 12
2000-01-13,113.283,11806.97,2000 enero 13
2000-01-14,113.889,11806.97,2000 enero 14
2000-01-15,107.445,11806.97,2000 enero 15
2000-01-16,93.948,11806.97,2000 enero 16
2000-01-17,105.721,11806.97,2000 enero 17
2000-01-18,110.882,11806.97,2000 enero 18
2000-01-19,112.174,11806.97,2000 enero 19
2000-01-20,115.61,11802.97,2000 enero 20
2000-01-21,115.228,11802.97,2000 enero 21
2000-01-22,108.954,11802.97,2000 enero 22
2000-01-23,95.446,11802.97,2000 enero 23
2000-01-24,114.531,11802.97,2000 enero 24
2000-01-25,116.482,11802.97,2000 enero 25
2000-01-26,117.392,11802.97,2000 enero 26
2000-01-27,116.359,11802.97,2000 enero 27
2000-01-28,116.671,11802.97,2000 enero 28
2000-01-29,110.358,11802.97,2000 enero 29
2000-01-30,97.165,11885.97,2000 enero 30
2000-01-31,114.259,11885.97,2000 enero 31
2000-02-01,115.275,11885.97,2000 febrero 01
2000-02-02,114.629,11885.97,2000 febrero 02
2000-02-03,114.557,11885.97,2000 febrero 03
2000-02-04,115.294,11885.97,2000 febrero 04
2000-02-05,107.87,11885.97,2000 febrero 05
2000-02-06,94.614,11885.97,2000 febrero 06
2000-02-07,113.826,11885.97,2000 febrero 07
2000-02-08,116.626,11885.97,2000 febrero 08
2000-02-09,117.275,11885.97,2000 febrero 09
2000-02-10,118.248,11885.97,2000 febrero 10
2000-02-11,115.443,11885.97,2000 febrero 11
2000-02-12,109.904,11885.97,2000 febrero 12
2000-02-13,97.196,11885.97,2000 febrero 13
2000-02-14,115.831,11885.97,2000 febrero 14
2000-02-15,117.66,11885.97,2000 febrero 15
2000-02-16,117.283,11885.97,2000 febrero 16
2000-02-17,117.627,11885.97,2000 febrero 17
2000-02-18,116.818,11885.97,2000 febrero 18
2000-02-19,109.395,11885.97,2000 febrero 19
2000-02-20,95.982,11885.97,2000 febrero 20
2000-02-21,115.242,11885.97,2000 febrero 21
2000-02-22,117.11,11885.97,2000 febrero 22
2000-02-23,117.845,11885.97,2000 febrero 23
2000-02-24,117.993,11885.97,2000 febrero 24
2000-02-25,115.995,11885.97,2000 febrero 25
2000-02-26,108.769,11885.97,2000 febrero 26
2000-02-27,95.791,11885.97,2000 febrero 27
2000-02-28,112.706,11885.97,2000 febrero 28
2000-02-29,115.588,11885.97,2000 febrero 29
2000-03-01,115.973,11885.97,2000 marzo 01
2000-03-02,116.901,11885.97,2000 marzo 02
2000-03-03,115.702,11885.97,2000 marzo 03
2000-03-04,107.731,11885.97,2000 marzo 04
2000-03-05,95.642,11885.97,2000 marzo 05
2000-03-06,113.762,11885.97,2000 marzo 06
2000-03-07,114.589,11885.97,2000 marzo 07
2000-03-08,116.284,11885.97,2000 marzo 08
2000-03-09,116.884,11885.97,2000 marzo 09
2000-03-10,116.615,11885.97,2000 marzo 10
2000-03-11,109.29,11885.97,2000 marzo 11
2000-03-12,95.985,11885.97,2000 marzo 12
2000-03-13,115.768,11968.97,2000 marzo 13
2000-03-14,117.867,11968.97,2000 marzo 14
2000-03-15,117.286,11968.97,2000 marzo 15
2000-03-16,118.26,11968.97,2000 marzo 16
2000-03-17,118.137,11968.97,2000 marzo 17
2000-03-18,110.606,11968.97,2000 marzo 18
2000-03-19,95.369,11968.97,2000 marzo 19
2000-03-20,96.489,11968.97,2000 marzo 20
2000-03-21,105.817,11968.97,2000 marzo 21
2000-03-22,116.921,11968.97,2000 marzo 22
2000-03-23,116.748,11968.97,2000 marzo 23
2000-03-24,116.145,11968.97,2000 marzo 24
2000-03-25,109.011,11968.97,2000 marzo 25
2000-03-26,95.964,11968.97,2000 marzo 26
2000-03-27,115.394,11968.97,2000 marzo 27
2000-03-28,116.711,11968.97,2000 marzo 28
2000-03-29,118.021,11968.97,2000 marzo 29
2000-03-30,118.637,11968.97,2000 marzo 30
2000-03-31,117.796,11968.97,2000 marzo 31
2000-04-01,110.189,11968.97,2000 abril 01
2000-04-02,95.985,11968.97,2000 abril 02
2000-04-03,115.601,11968.97,2000 abril 03
2000-04-04,116.564,11968.97,2000 abril 04
2000-04-05,115.509,11968.97,2000 abril 05
2000-04-06,116.967,11968.97,2000 abril 06
2000-04-07,117.9,11968.97,2000 abril 07
2000-04-08,109.803,11968.97,2000 abril 08
2000-04-09,97.171,11968.97,2000 abril 09
2000-04-10,114.797,11968.97,2000 abril 10
2000-04-11,117.311,11968.97,2000 abril 11
2000-04-12,118.929,11968.97,2000 abril 12
2000-04-13,117.787,11968.97,2000 abril 13
2000-04-14,116.696,11968.97,2000 abril 14
2000-04-15,110.551,11968.97,2000 abril 15
2000-04-16,97.1,11968.97,2000 abril 16
2000-04-17,113.486,11968.97,2000 abril 17
2000-04-18,114.607,11968.97,2000 abril 18
2000-04-19,112.142,11968.97,2000 abril 19
2000-04-20,92.129,11968.97,2000 abril 20
2000-04-21,86.532,11968.97,2000 abril 21
2000-04-22,96.636,11968.97,2000 abril 22
2000-04-23,93.457,11968.97,2000 abril 23
2000-04-24,113.872,11968.97,2000 abril 24
2000-04-25,116.548,11968.97,2000 abril 25
2000-04-26,117.985,12053.97,2000 abril 26
2000-04-27,117.553,12053.97,2000 abril 27
2000-04-28,117.892,12053.97,2000 abril 28
2000-04-29,110.333,12053.97,2000 abril 29
2000-04-30,96.36,12053.97,2000 abril 30
2000-05-01,96.208,12051.97,2000 mayo 01
2000-05-02,114.802,12051.97,2000 mayo 02
2000-05-03,118.125,12051.97,2000 mayo 03
2000-05-04,118.358,12051.97,2000 mayo 04
2000-05-05,117.654,12051.97,2000 mayo 05
2000-05-06,110.016,12051.97,2000 mayo 06
2000-05-07,96.742,12051.97,2000 mayo 07
2000-05-08,115.379,12051.97,2000 mayo 08
2000-05-09,116.965,12060.27,2000 mayo 09
