Textbox9
"Año: 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"

Año,Mes_Ordenado,Día,Textbox17,Capacidad_Efectiva_Neta,Textbox26,Generación,Textbox13,Textbox15,Textbox16,Capacidad_Efectiva_Neta1,Generación1
2020,01-Enero,1,Capacidad Efectiva Neta (MV),"17.562,244",Generación (GWh),"153,582",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,2,Capacidad Efectiva Neta (MV),"17.562,244",Generación (GWh),"177,342",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,3,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"187,103",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,4,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"181,253",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,5,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"165,862",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,6,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"167,117",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,7,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"188,294",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,8,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"193,515",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,9,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"197,583",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,10,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"200,343",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,11,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"193,692",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,12,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"178,487",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,13,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"201,698",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,14,Capacidad Efectiva Neta (MV),"17.603,244",Generación (GWh),"204,566",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,15,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"206,732",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,16,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"208,907",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,17,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"209,675",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,18,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"200,870",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,19,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"179,115",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,20,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"203,234",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,21,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"201,684",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,22,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"198,570",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,23,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"198,008",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,24,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"203,156",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
2020,01-Enero,25,Capacidad Efectiva Neta (MV),"17.605,244",Generación (GWh),"192,584",Total 2020,"19.326,117","48.481,272","19.326,117","1.179.405,046"
