year,total_capacidad,total_generacion
2000,12736.67,41278.096
2001,13160.23,43047.723
2002,13425.01,44735.127
2003,13228.99,46734.196
2004,13427.09,48561.828
2005,13355.24,50429.759
2006,13280.46,52340.048
2007,13414.1,53626.007
2008,13478.53,54394.998
2009,13478.53,55965.626
2010,14247.1,56885.3
2011,14427.48,58616.187
2012,14414.138,59988.859
2013,14558.548,62196.587
2014,15672.848,64327.855
2015,16484.018,66548.474
2016,16597.018,65935.243
2017,16837.448,66666.991
2018,17392.288,68943.206
2019,17562.244,69701.663
2020,19326.117,48481.272
